Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
971181,-18.55469,-5.37109,1008.78906,-9.76562,-1.95312,1026.36719,-6.34766,-67.38281,1024.90234
976181,-5.85937,-0.97656,1006.34766,-4.39453,3.41797,1004.88281,-20.99609,-58.59375,1015.13672
981181,-19.04297,17.57813,1017.57812,-11.71875,-6.83594,1027.83203,-20.50781,-54.6875,1022.46094
986181,-23.4375,7.32422,1023.92578,-13.67187,12.20703,1011.23047,-18.06641,-68.35938,1016.60156
991181,-14.16016,0.97656,1014.64844,-9.76562,1.46484,1017.57812,-16.11328,-66.40625,1025.39063
996181,-1.46484,11.71875,1018.55469,-10.25391,12.20703,1020.01953,-9.76562,-55.66406,1026.36719
1001181,-15.625,12.20703,1011.71875,-15.13672,-3.41797,1022.46094,1.95312,-76.66016,1020.50781
1006181,-10.74219,20.99609,1020.50781,-2.92969,5.37109,1017.08984,-17.57813,-71.28906,1013.67187
1011181,-10.74219,-2.44141,1004.39453,-11.23047,3.90625,1016.60156,-1.46484,-70.80078,1019.53125
1016181,0.97656,9.76562,1011.23047,-14.16016,12.20703,1011.23047,3.90625,-57.61719,1013.67187
1021181,-14.64844,4.39453,1033.20313,-9.27734,-5.85937,1016.11328,3.90625,-63.96484,1029.29688
1026181,-11.23047,20.50781,1027.83203,-16.60156,2.44141,1021.97266,-6.34766,-64.45313,1009.27734
1031181,-18.06641,14.64844,1016.11328,-10.25391,5.37109,1017.08984,8.30078,-57.12891,1014.64844
1036181,-21.97266,8.78906,1018.55469,-7.32422,8.30078,1015.625,-2.44141,-68.84766,1024.90234
1041181,-14.64844,5.85937,1020.50781,2.44141,-3.41797,1025.87891,-3.90625,-56.15234,1027.83203
1046181,-21.97266,1.46484,1019.04297,-12.20703,-16.11328,1015.625,-17.57813,-59.08203,1031.25
1051181,-2.92969,-5.85937,1025.87891,-0.97656,6.83594,1014.16016,-7.8125,-69.33594,1038.08594
1056181,0.0,5.85937,1021.97266,-9.76562,13.67187,1014.64844,-8.78906,-78.61328,1010.25391
1061181,-10.25391,14.64844,1014.64844,3.90625,3.90625,1011.23047,2.44141,-68.35938,1012.20703
1066181,-2.44141,-4.88281,1016.60156,-12.69531,-3.90625,1021.97266,-8.30078,-58.10547,1009.76562
